"","Year","Site","Treatment","Block","Plot","Species","Relative.Cover","Mean.Temp","SD.Temp","Richness"
"137",2012,"MAT","NFNP","1","6","Eri vag",0.134831461,-9.45,16.82598099,16
"138",2012,"MAT","NFNP","1","6","Rub cha",0.382022472,-9.45,16.82598099,16
"139",2012,"MAT","NFNP","1","6","St. D. Bet.",0.033707865,-9.45,16.82598099,16
"140",2012,"MAT","NFNP","1","6","vole litter",0.033707865,-9.45,16.82598099,16
"141",2012,"MAT","NFNP","1","7","moss",0.01025641,-9.45,16.82598099,16
"142",2012,"MAT","NFNP","1","7","litter",0.041025641,-9.45,16.82598099,16
"143",2012,"MAT","NFNP","1","7","Bet nan",0.338461538,-9.45,16.82598099,16
"144",2012,"MAT","NFNP","1","7","Eri vag",0.071794872,-9.45,16.82598099,16
"145",2012,"MAT","NFNP","1","7","Led pal",0.005128205,-9.45,16.82598099,16
"146",2012,"MAT","NFNP","1","7","Rub cha",0.482051282,-9.45,16.82598099,16
"147",2012,"MAT","NFNP","1","7","St. D. Bet.",0.020512821,-9.45,16.82598099,16
"148",2012,"MAT","NFNP","1","7","vole litter",0.030769231,-9.45,16.82598099,16
"149",2012,"MAT","NFNP","1","8","litter",0.055299539,-9.45,16.82598099,13
"150",2012,"MAT","NFNP","1","8","Bet nan",0.377880184,-9.45,16.82598099,13
"151",2012,"MAT","NFNP","1","8","Eri vag",0.046082949,-9.45,16.82598099,13
"152",2012,"MAT","NFNP","1","8","Led pal",0.004608295,-9.45,16.82598099,13
"153",2012,"MAT","NFNP","1","8","Rub cha",0.516129032,-9.45,16.82598099,13
"154",2012,"MAT","NFCT","2","1","moss",0.018018018,-9.45,16.82598099,16
"155",2012,"MAT","NFCT","2","1","lichen",0.009009009,-9.45,16.82598099,16
"156",2012,"MAT","NFCT","2","1","litter",0.054054054,-9.45,16.82598099,16
"157",2012,"MAT","NFCT","2","1","Bet nan",0.18018018,-9.45,16.82598099,16
"158",2012,"MAT","NFCT","2","1","Car big",0.018018018,-9.45,16.82598099,16
"159",2012,"MAT","NFCT","2","1","Cas tet",0.018018018,-9.45,16.82598099,16
"160",2012,"MAT","NFCT","2","1","Emp nig",0.054054054,-9.45,16.82598099,16
"161",2012,"MAT","NFCT","2","1","Eri vag",0.126126126,-9.45,16.82598099,16
"162",2012,"MAT","NFCT","2","1","Led pal",0.072072072,-9.45,16.82598099,16
"163",2012,"MAT","NFCT","2","1","Rub cha",0.198198198,-9.45,16.82598099,16
"164",2012,"MAT","NFCT","2","1","Vac vit",0.09009009,-9.45,16.82598099,16
"165",2012,"MAT","NFCT","2","1","vole litter",0.162162162,-9.45,16.82598099,16
"166",2012,"MAT","NFCT","2","2","moss",0.128571429,-9.45,16.82598099,17
"167",2012,"MAT","NFCT","2","2","lichen",0.171428571,-9.45,16.82598099,17
"168",2012,"MAT","NFCT","2","2","litter",0.028571429,-9.45,16.82598099,17
"169",2012,"MAT","NFCT","2","2","Bet nan",0.085714286,-9.45,16.82598099,17
"170",2012,"MAT","NFCT","2","2","Cas tet",0.007142857,-9.45,16.82598099,17
"171",2012,"MAT","NFCT","2","2","Emp nig",0.007142857,-9.45,16.82598099,17
"172",2012,"MAT","NFCT","2","2","Eri vag",0.2,-9.45,16.82598099,17
"173",2012,"MAT","NFCT","2","2","Led pal",0.057142857,-9.45,16.82598099,17
"174",2012,"MAT","NFCT","2","2","Rub cha",0.042857143,-9.45,16.82598099,17
"175",2012,"MAT","NFCT","2","2","Sal pul",0.085714286,-9.45,16.82598099,17
"176",2012,"MAT","NFCT","2","2","Vac vit",0.071428571,-9.45,16.82598099,17
"177",2012,"MAT","NFCT","2","2","vole hole",0.014285714,-9.45,16.82598099,17
"178",2012,"MAT","NFCT","2","2","vole litter",0.1,-9.45,16.82598099,17
"179",2012,"MAT","NFCT","2","3","moss",0.075,-9.45,16.82598099,14
"180",2012,"MAT","NFCT","2","3","lichen",0.0625,-9.45,16.82598099,14
"181",2012,"MAT","NFCT","2","3","litter",0.025,-9.45,16.82598099,14
"182",2012,"MAT","NFCT","2","3","Bet nan",0.225,-9.45,16.82598099,14
"183",2012,"MAT","NFCT","2","3","Car big",0.0125,-9.45,16.82598099,14
"184",2012,"MAT","NFCT","2","3","Emp nig",0.0125,-9.45,16.82598099,14
"185",2012,"MAT","NFCT","2","3","Eri vag",0.1625,-9.45,16.82598099,14
"186",2012,"MAT","NFCT","2","3","Led pal",0.1625,-9.45,16.82598099,14
"187",2012,"MAT","NFCT","2","3","Rub cha",0.025,-9.45,16.82598099,14
"188",2012,"MAT","NFCT","2","3","Sal pul",0.15,-9.45,16.82598099,14
