Year,Site,Treatment,Block,Plot,Species,Relative.Cover,Mean.Temp,SD.Temp
2012,MAT,NFNP,3,2,Eri vag,0.005050505,-9.45,16.82598099
2012,MAT,NFNP,3,2,Led pal,0.005050505,-9.45,16.82598099
2012,MAT,NFNP,3,2,Rub cha,0.414141414,-9.45,16.82598099
2012,MAT,NFNP,3,2,St. D. Bet.,0.171717172,-9.45,16.82598099
2012,MAT,NFNP,3,3,litter,0.025751073,-9.45,16.82598099
2012,MAT,NFNP,3,3,Bet nan,0.369098712,-9.45,16.82598099
2012,MAT,NFNP,3,3,Eri vag,0.004291845,-9.45,16.82598099
2012,MAT,NFNP,3,3,Rub cha,0.52360515,-9.45,16.82598099
2012,MAT,NFNP,3,3,St. D. Bet.,0.077253219,-9.45,16.82598099
2012,MAT,NFNP,3,4,Bet nan,0.591928251,-9.45,16.82598099
2012,MAT,NFNP,3,4,Eri vag,0.004484305,-9.45,16.82598099
2012,MAT,NFNP,3,4,Rub cha,0.385650224,-9.45,16.82598099
2012,MAT,NFNP,3,4,St. D. Bet.,0.01793722,-9.45,16.82598099
2012,MAT,NFNP,3,5,litter,0.026785714,-9.45,16.82598099
2012,MAT,NFNP,3,5,Bet nan,0.491071429,-9.45,16.82598099
2012,MAT,NFNP,3,5,Rub cha,0.4375,-9.45,16.82598099
2012,MAT,NFNP,3,5,St. D. Bet.,0.044642857,-9.45,16.82598099
2012,MAT,NFNP,3,6,moss,0.03960396,-9.45,16.82598099
2012,MAT,NFNP,3,6,lichen,0.004950495,-9.45,16.82598099
2012,MAT,NFNP,3,6,litter,0.04950495,-9.45,16.82598099
2012,MAT,NFNP,3,6,bare,0.004950495,-9.45,16.82598099
2012,MAT,NFNP,3,6,Bet nan,0.475247525,-9.45,16.82598099
2012,MAT,NFNP,3,6,Eri vag,0.079207921,-9.45,16.82598099
2012,MAT,NFNP,3,6,Rub cha,0.346534653,-9.45,16.82598099
2012,MAT,NFNP,3,7,litter,0.017621145,-9.45,16.82598099
2012,MAT,NFNP,3,7,Bet nan,0.466960352,-9.45,16.82598099
2012,MAT,NFNP,3,7,Eri vag,0.004405286,-9.45,16.82598099
2012,MAT,NFNP,3,7,Rub cha,0.475770925,-9.45,16.82598099
2012,MAT,NFNP,3,7,St. D. Bet.,0.035242291,-9.45,16.82598099
2012,MAT,NFNP,3,8,litter,0.019607843,-9.45,16.82598099
2012,MAT,NFNP,3,8,Bet nan,0.558823529,-9.45,16.82598099
2012,MAT,NFNP,3,8,Eri vag,0.004901961,-9.45,16.82598099
2012,MAT,NFNP,3,8,Led pal,0.004901961,-9.45,16.82598099
2012,MAT,NFNP,3,8,Rub cha,0.411764706,-9.45,16.82598099
2012,MAT,NFCT,3,1,moss,0.005780347,-9.45,16.82598099
2012,MAT,NFCT,3,1,litter,0.080924855,-9.45,16.82598099
2012,MAT,NFCT,3,1,bare,0.005780347,-9.45,16.82598099
2012,MAT,NFCT,3,1,And pol,0.005780347,-9.45,16.82598099
2012,MAT,NFCT,3,1,Bet nan,0.427745665,-9.45,16.82598099
2012,MAT,NFCT,3,1,Car big,0.005780347,-9.45,16.82598099
2012,MAT,NFCT,3,1,Eri vag,0.12716763,-9.45,16.82598099
2012,MAT,NFCT,3,1,Led pal,0.057803468,-9.45,16.82598099
2012,MAT,NFCT,3,1,Rub cha,0.25433526,-9.45,16.82598099
2012,MAT,NFCT,3,1,Vac uli,0.005780347,-9.45,16.82598099
2012,MAT,NFCT,3,1,Vac vit,0.023121387,-9.45,16.82598099
